Truck Number,Style,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Claim Number,Scale Claim Cost,Scale Labor Cost,claim_flag
Truck 12,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 13,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295,Claim 26592,0.0,0.0,0
Truck 13,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295,Claim 104244,0.0,0.0,0
Truck 14,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 15,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 1569,0.0,0.0,0
Truck 15,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 39478,0.0,0.0,0
Truck 15,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 40316,0.0,0.0,0
Truck 15,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 49961,0.0,0.0,0
Truck 16,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 37732,0.0,0.0,0
Truck 16,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 39085,0.0,0.0,0
Truck 16,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,Claim 49145,0.0,0.0,0
Truck 17,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 11128,0.0,0.0,0
Truck 17,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 41247,0.0,0.0,0
Truck 17,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 55248,0.0,0.0,0
Truck 18,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 117349,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 43241,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 44762,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 72633,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 103925,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 106960,0.0,0.0,0
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 118422,0.0,0.0,0
Truck 20,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 15127,0.0,0.0,0
Truck 20,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 59680,0.0,0.0,0
Truck 20,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 69426,0.0,0.0,0
Truck 20,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295,Claim 82605,0.0,0.0,0
Truck 21,Style 1,Option 4,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 295,Claim 32371,0.0,0.0,0
Truck 21,Style 1,Option 4,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 295,Claim 52390,0.0,0.0,0
Truck 22,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 8020,0.0,0.0,0
Truck 22,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 11023,0.0,0.0,0
Truck 22,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 32825,0.0,0.0,0
Truck 23,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 58188,0.0,0.0,0
Truck 23,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 62760,0.0,0.0,0
Truck 23,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295,Claim 63889,0.0,0.0,0
Truck 24,Style 1,Option 2,Option 84,Option 182,Option 206,Option 265,Option 282,Option 291,Option 295,Claim 14305,0.0,0.0,0
Truck 24,Style 1,Option 2,Option 84,Option 182,Option 206,Option 265,Option 282,Option 291,Option 295,Claim 14890,0.0,0.0,0
Truck 24,Style 1,Option 2,Option 84,Option 182,Option 206,Option 265,Option 282,Option 291,Option 295,Claim 116033,0.0,0.0,0
Truck 25,Style 1,Option 2,Option 84,Option 182,Option 206,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 26,Style 1,Option 7,Option 84,Option 181,Option 206,Option 265,Option283,Option 291,Option 295,Claim 101122,0.0,0.0,0
Truck 27,Style 1,Option 7,Option 84,Option 181,Option 206,Option 265,Option283,Option 291,Option 295,Claim 10223,0.0,0.0,0
Truck 28,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 3588,0.0,0.0,0
Truck 29,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 83074,0.0,0.0,0
Truck 29,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 85277,0.0,0.0,0
Truck 29,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 96524,0.0,0.0,0
Truck 30,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 59051,0.0,0.0,0
Truck 30,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 68044,0.0,0.0,0
Truck 31,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,,0.0,0.0,0
Truck 32,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 8875,0.0,0.0,0
Truck 32,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 18208,0.0,0.0,0
Truck 32,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 20034,0.0,0.0,0
Truck 33,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 28354,0.0,0.0,0
Truck 33,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 110065,0.0,0.0,0
Truck 33,Style 1,Option 8,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 296,Claim 111703,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 14943,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 45421,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 51629,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 85492,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 96305,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 99089,0.0,0.0,0
Truck 34,Style 1,Option 3,Option 84,Option 182,Option 208,Option 265,Option283,Option 291,Option 295,Claim 109275,0.0,0.0,0
Truck 35,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 6065,0.0,0.0,0
Truck 35,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 28798,0.0,0.0,0
Truck 35,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 39698,0.0,0.0,0
Truck 36,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 28973,0.0,0.0,0
Truck 36,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 80068,0.0,0.0,0
Truck 37,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 34520,0.0,0.0,0
Truck 37,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 49940,0.0,0.0,0
Truck 38,Style 1,Option 8,Option 85,Option 182,Option 206,Option 266,Option 282,Option 291,Option 296,,0.0,0.0,0
Truck 39,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,,0.0,0.0,0
Truck 40,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 59738,0.0,0.0,0
Truck 40,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 95693,0.0,0.0,0
Truck 41,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 8225,0.0,0.0,0
Truck 41,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 93676,0.0,0.0,0
Truck 41,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 98546,0.0,0.0,0
Truck 42,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 8249,0.0,0.0,0
Truck 42,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 12854,0.0,0.0,0
Truck 42,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 33148,0.0,0.0,0
Truck 42,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 36934,0.0,0.0,0
Truck 42,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 52042,0.0,0.0,0
Truck 43,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 5112,0.0,0.0,0
Truck 43,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 39571,0.0,0.0,0
Truck 43,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 58377,0.0,0.0,0
Truck 43,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 71378,0.0,0.0,0
Truck 43,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 98541,0.0,0.0,0
Truck 44,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 23447,0.0,0.0,0
Truck 44,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 46743,0.0,0.0,0
Truck 44,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 99318,0.0,0.0,0
Truck 45,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 32436,0.0,0.0,0
Truck 45,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 49483,0.0,0.0,0
Truck 45,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 82253,0.0,0.0,0
Truck 46,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 550,0.0,0.0,0
Truck 46,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 9050,0.0,0.0,0
Truck 46,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 20772,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 2999,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4747,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4748,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4749,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4750,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 9049,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 11362,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 12441,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 13646,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 16713,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 80385,0.0,0.0,0
Truck 47,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 95276,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 2995,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4363,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4364,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4365,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4366,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4367,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 5982,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 5983,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 7348,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 7349,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 8677,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 8678,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 10908,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 35151,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 43709,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 54417,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 76621,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 80384,0.0,0.0,0
Truck 48,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 108328,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 1585,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 2997,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 4745,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 7683,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 9045,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 9046,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 9047,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 13303,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 14069,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 17786,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 21071,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 27983,0.0,0.0,0
Truck 49,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 115082,0.0,0.0,0
Truck 50,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 22480,0.0,0.0,0
Truck 51,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 107460,0.0,0.0,0
Truck 52,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 105577,0.0,0.0,0
Truck 52,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 107459,0.0,0.0,0
Truck 53,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 34517,0.0,0.0,0
Truck 53,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 107529,0.0,0.0,0
Truck 53,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 123209,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 5110,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 35759,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 49142,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 55111,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 61259,0.0,0.0,0
Truck 54,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 95692,0.0,0.0,0
Truck 55,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 10658,0.0,0.0,0
Truck 56,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,,0.0,0.0,0
Truck 57,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 920,0.0,0.0,0
Truck 57,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 5879,0.0,0.0,0
Truck 58,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 54590,0.0,0.0,0
Truck 58,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 113661,0.0,0.0,0
Truck 59,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 27838,0.0,0.0,0
Truck 59,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 100867,0.0,0.0,0
Truck 60,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 6610,0.0,0.0,0
Truck 60,Style 1,Option 8,Option 85,Option 181,Option 206,Option 266,Option 282,Option 291,Option 296,Claim 111894,0.0,0.0,0
