Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 38633,Claim 52,Very Low,Very Low
Truck 7133,Claim 53,Very Low,Very Low
Truck 1129,Claim 54,Very Low,Very Low
Truck 1129,Claim 55,Very Low,Very Low
Truck 26776,Claim 56,Very Low,Very Low
Truck 32928,Claim 57,Very Low,Very Low
Truck 38637,Claim 58,Very Low,Very Low
Truck 19687,Claim 59,Very Low,Very Low
Truck 5197,Claim 60,Very Low,Very Low
Truck 4367,Claim 61,Very Low,Very Low
Truck 18513,Claim 62,Very Low,Very Low
Truck 13613,Claim 63,Very Low,Very Low
Truck 23599,Claim 64,Very Low,Very Low
Truck 2327,Claim 65,Very Low,Very Low
Truck 17672,Claim 66,Very Low,Very Low
Truck 45806,Claim 67,Very Low,Very Low
Truck 19019,Claim 68,Very Low,Very Low
Truck 44643,Claim 69,Very Low,Very Low
Truck 44631,Claim 70,Very Low,Very Low
Truck 21737,Claim 71,Very Low,Very Low
Truck 12533,Claim 72,Very Low,Very Low
Truck 26856,Claim 73,Very Low,Very Low
Truck 26846,Claim 74,Very Low,Very Low
Truck 11560,Claim 75,Very Low,Very Low
Truck 2467,Claim 76,Very Low,Very Low
Truck 9021,Claim 77,Very Low,Very Low
Truck 14143,Claim 78,Very Low,Very Low
Truck 44696,Claim 79,Very Low,Very Low
Truck 23019,Claim 80,Very Low,Very Low
Truck 43476,Claim 81,Very Low,Very Low
Truck 29166,Claim 82,Very Low,Very Low
Truck 41279,Claim 83,Very Low,Very Low
Truck 14048,Claim 84,Very Low,Very Low
Truck 31194,Claim 85,Very Low,Very Low
Truck 13925,Claim 86,Very Low,Very Low
Truck 37018,Claim 87,Very Low,Very Low
Truck 2417,Claim 88,Very Low,Very Low
Truck 45201,Claim 89,Very Low,Very Low
Truck 9577,Claim 90,Very Low,Very Low
Truck 3810,Claim 91,Very Low,Very Low
Truck 11067,Claim 92,Very Low,Very Low
Truck 40978,Claim 93,Very Low,Very Low
Truck 41291,Claim 94,Very Low,Very Low
Truck 1201,Claim 95,Very Low,Very Low
Truck 1202,Claim 96,Very Low,Very Low
Truck 4233,Claim 97,Very Low,Very Low
Truck 41136,Claim 98,Very Low,Very Low
Truck 31014,Claim 99,Very Low,Very Low
Truck 6660,Claim 100,Very Low,Very Low
Truck 42849,Claim 101,Very Low,Very Low
Truck 42846,Claim 102,Very Low,Very Low
Truck 4026,Claim 103,Very Low,Very Low
Truck 33629,Claim 104,Very Low,Very Low
Truck 42850,Claim 105,Very Low,Very Low
Truck 47703,Claim 106,Very Low,Very Low
Truck 44217,Claim 107,Very Low,Very Low
Truck 2377,Claim 108,Very Low,Very Low
Truck 32933,Claim 109,Very Low,Very Low
Truck 2429,Claim 110,Very Low,Very Low
Truck 35318,Claim 111,Very Low,Very Low
Truck 18962,Claim 112,Very Low,Very Low
Truck 28015,Claim 113,Very Low,Very Low
Truck 37046,Claim 114,Very Low,Very Low
Truck 28370,Claim 115,Very Low,Very Low
Truck 3594,Claim 116,Very Low,Very Low
Truck 41652,Claim 117,Very Low,Very Low
Truck 43568,Claim 118,Very Low,Very Low
Truck 9838,Claim 119,Very Low,Very Low
Truck 21585,Claim 120,Very Low,Very Low
Truck 22787,Claim 121,Very Low,Very Low
Truck 25815,Claim 122,Very Low,Very Low
Truck 37186,Claim 123,Very Low,Very Low
Truck 43150,Claim 124,Very Low,Very Low
Truck 43098,Claim 125,Very Low,Very Low
Truck 2370,Claim 126,Very Low,Very Low
Truck 2474,Claim 127,Very Low,Very Low
Truck 2474,Claim 128,Very Low,Very Low
Truck 2523,Claim 129,Very Low,Very Low
Truck 42411,Claim 130,Very Low,Very Low
Truck 31992,Claim 131,Very Low,Very Low
Truck 22011,Claim 132,Very Low,Very Low
Truck 3212,Claim 133,Very Low,Very Low
Truck 3155,Claim 134,Very Low,Very Low
Truck 44670,Claim 135,Very Low,Very Low
Truck 45715,Claim 136,Very Low,Very Low
Truck 31197,Claim 137,Very Low,Very Low
Truck 17698,Claim 138,Very Low,Very Low
Truck 17659,Claim 139,Very Low,Very Low
Truck 4629,Claim 140,Very Low,Very Low
Truck 32854,Claim 141,Very Low,Very Low
Truck 5154,Claim 142,Very Low,Very Low
Truck 37666,Claim 143,Very Low,Very Low
Truck 45563,Claim 144,Very Low,Very Low
Truck 41223,Claim 145,Very Low,Very Low
Truck 39285,Claim 146,Very Low,Very Low
Truck 39290,Claim 147,Very Low,Very Low
Truck 39267,Claim 148,Very Low,Very Low
Truck 26749,Claim 149,Very Low,Very Low
Truck 26735,Claim 150,Very Low,Very Low
Truck 26724,Claim 151,Very Low,Very Low
Truck 1785,Claim 152,Very Low,Very Low
Truck 2316,Claim 153,Very Low,Very Low
Truck 2473,Claim 154,Very Low,Very Low
Truck 17344,Claim 155,Very Low,Very Low
Truck 14554,Claim 156,Very Low,Very Low
Truck 38906,Claim 157,Very Low,Very Low
Truck 35933,Claim 158,Very Low,Very Low
Truck 396,Claim 159,Very Low,Very Low
Truck 44957,Claim 160,Very Low,Very Low
Truck 47496,Claim 161,Very Low,Very Low
Truck 48304,Claim 162,Very Low,Very Low
Truck 2327,Claim 163,Very Low,Very Low
Truck 14555,Claim 164,Very Low,Very Low
Truck 21126,Claim 165,Very Low,Very Low
Truck 17586,Claim 166,Very Low,Very Low
Truck 14869,Claim 167,Very Low,Very Low
Truck 2316,Claim 168,Very Low,Very Low
Truck 2320,Claim 169,Very Low,Very Low
Truck 4036,Claim 170,Very Low,Very Low
Truck 26052,Claim 171,Very Low,Very Low
Truck 3037,Claim 172,Very Low,Very Low
Truck 5068,Claim 173,Very Low,Very Low
Truck 42696,Claim 174,Very Low,Very Low
Truck 19659,Claim 175,Very Low,Very Low
Truck 17355,Claim 176,Very Low,Very Low
Truck 17358,Claim 177,Very Low,Very Low
Truck 3051,Claim 178,Very Low,Very Low
Truck 19785,Claim 179,Very Low,Very Low
Truck 29271,Claim 180,Very Low,Very Low
Truck 44119,Claim 181,Very Low,Very Low
Truck 19662,Claim 182,Very Low,Very Low
Truck 19730,Claim 183,Very Low,Very Low
Truck 47890,Claim 184,Very Low,Very Low
Truck 26729,Claim 185,Very Low,Very Low
Truck 45750,Claim 186,Very Low,Very Low
Truck 24049,Claim 187,Very Low,Very Low
Truck 7607,Claim 188,Very Low,Very Low
Truck 12867,Claim 189,Very Low,Very Low
Truck 6580,Claim 190,Very Low,Very Low
Truck 14116,Claim 191,Very Low,Very Low
Truck 45633,Claim 192,Very Low,Very Low
Truck 46163,Claim 193,Very Low,Very Low
Truck 45580,Claim 194,Very Low,Very Low
Truck 47758,Claim 195,Very Low,Very Low
Truck 45636,Claim 196,Very Low,Very Low
Truck 45566,Claim 197,Very Low,Very Low
Truck 45545,Claim 198,Very Low,Very Low
Truck 45551,Claim 199,Very Low,Very Low
Truck 46176,Claim 200,Very Low,Very Low
Truck 45630,Claim 201,Very Low,Very Low
Truck 45615,Claim 202,Very Low,Very Low
Truck 45605,Claim 203,Very Low,Very Low
Truck 45616,Claim 204,Very Low,Very Low
Truck 45557,Claim 205,Very Low,Very Low
Truck 45282,Claim 206,Very Low,Very Low
Truck 45612,Claim 207,Very Low,Very Low
Truck 45579,Claim 208,Very Low,Very Low
Truck 45622,Claim 209,Very Low,Very Low
Truck 45634,Claim 210,Very Low,Very Low
Truck 45623,Claim 211,Very Low,Very Low
Truck 46173,Claim 212,Very Low,Very Low
Truck 46171,Claim 213,Very Low,Very Low
Truck 45525,Claim 214,Very Low,Very Low
Truck 45533,Claim 215,Very Low,Very Low
Truck 45552,Claim 216,Very Low,Very Low
Truck 45574,Claim 217,Very Low,Very Low
Truck 45608,Claim 218,Very Low,Very Low
Truck 45597,Claim 219,Very Low,Very Low
Truck 46165,Claim 220,Very Low,Very Low
Truck 45540,Claim 221,Very Low,Very Low
Truck 45640,Claim 222,Very Low,Very Low
Truck 45575,Claim 223,Very Low,Very Low
Truck 45637,Claim 224,Very Low,Very Low
Truck 45590,Claim 225,Very Low,Very Low
Truck 45539,Claim 226,Very Low,Very Low
Truck 46174,Claim 227,Very Low,Very Low
Truck 46175,Claim 228,Very Low,Very Low
Truck 45629,Claim 229,Very Low,Very Low
Truck 45601,Claim 230,Very Low,Very Low
Truck 45619,Claim 231,Very Low,Very Low
Truck 45577,Claim 232,Very Low,Very Low
Truck 45586,Claim 233,Very Low,Very Low
Truck 45563,Claim 234,Very Low,Very Low
Truck 45562,Claim 235,Very Low,Very Low
Truck 45561,Claim 236,Very Low,Very Low
Truck 45631,Claim 237,Very Low,Very Low
Truck 45585,Claim 238,Very Low,Very Low
Truck 45556,Claim 239,Very Low,Very Low
Truck 45565,Claim 240,Very Low,Very Low
Truck 46166,Claim 241,Very Low,Very Low
Truck 45627,Claim 242,Very Low,Very Low
Truck 45614,Claim 243,Very Low,Very Low
Truck 45528,Claim 244,Very Low,Very Low
Truck 45624,Claim 245,Very Low,Very Low
Truck 45550,Claim 246,Very Low,Very Low
Truck 45628,Claim 247,Very Low,Very Low
Truck 45558,Claim 248,Very Low,Very Low
Truck 46160,Claim 249,Very Low,Very Low
Truck 45617,Claim 250,Very Low,Very Low
Truck 45546,Claim 251,Very Low,Very Low
Truck 45570,Claim 252,Very Low,Very Low
Truck 45644,Claim 253,Very Low,Very Low
Truck 45573,Claim 254,Very Low,Very Low
Truck 45587,Claim 255,Very Low,Very Low
Truck 45591,Claim 256,Very Low,Very Low
Truck 45537,Claim 257,Very Low,Very Low
Truck 45593,Claim 258,Very Low,Very Low
Truck 45559,Claim 259,Very Low,Very Low
Truck 45569,Claim 260,Very Low,Very Low
Truck 45553,Claim 261,Very Low,Very Low
Truck 45523,Claim 262,Very Low,Very Low
Truck 45584,Claim 263,Very Low,Very Low
Truck 47757,Claim 264,Very Low,Very Low
Truck 45621,Claim 265,Very Low,Very Low
Truck 45544,Claim 266,Very Low,Very Low
Truck 45606,Claim 267,Very Low,Very Low
Truck 45535,Claim 268,Very Low,Very Low
Truck 45581,Claim 269,Very Low,Very Low
Truck 45542,Claim 270,Very Low,Very Low
Truck 45568,Claim 271,Very Low,Very Low
Truck 45549,Claim 272,Very Low,Very Low
Truck 47756,Claim 273,Very Low,Very Low
Truck 45604,Claim 274,Very Low,Very Low
Truck 45594,Claim 275,Very Low,Very Low
Truck 45572,Claim 276,Very Low,Very Low
Truck 45531,Claim 277,Very Low,Very Low
Truck 46172,Claim 278,Very Low,Very Low
Truck 46161,Claim 279,Very Low,Very Low
Truck 45571,Claim 280,Very Low,Very Low
Truck 45642,Claim 281,Very Low,Very Low
Truck 27161,Claim 282,Very Low,Very Low
Truck 35484,Claim 283,Very Low,Very Low
Truck 29162,Claim 284,Very Low,Very Low
Truck 11564,Claim 285,Very Low,Very Low
Truck 1973,Claim 286,Very Low,Very Low
Truck 126,Claim 287,Very Low,Very Low
Truck 104,Claim 288,Very Low,Very Low
Truck 29616,Claim 289,Very Low,Very Low
Truck 15941,Claim 290,Very Low,Very Low
Truck 32254,Claim 291,Very Low,Very Low
Truck 23622,Claim 292,Very Low,Very Low
Truck 44045,Claim 293,Very Low,Very Low
Truck 4254,Claim 294,Very Low,Very Low
Truck 1018,Claim 295,Very Low,Very Low
Truck 1018,Claim 296,Very Low,Very Low
Truck 8080,Claim 297,Very Low,Very Low
Truck 29170,Claim 298,Very Low,Very Low
Truck 35051,Claim 299,Very Low,Very Low
Truck 22356,Claim 300,Very Low,Very Low
Truck 24718,Claim 301,Very Low,Very Low
Truck 10893,Claim 302,Very Low,Very Low
Truck 29486,Claim 303,Very Low,Very Low
Truck 11932,Claim 304,Very Low,Very Low
Truck 19034,Claim 305,Very Low,Very Low
Truck 19034,Claim 306,Very Low,Very Low
Truck 27792,Claim 307,Very Low,Very Low
Truck 37391,Claim 308,Very Low,Very Low
Truck 19086,Claim 309,Very Low,Very Low
Truck 35482,Claim 310,Very Low,Very Low
Truck 17862,Claim 311,Very Low,Very Low
Truck 19645,Claim 312,Very Low,Very Low
Truck 3032,Claim 313,Very Low,Very Low
Truck 20763,Claim 314,Very Low,Very Low
Truck 17343,Claim 315,Very Low,Very Low
Truck 17362,Claim 316,Very Low,Very Low
Truck 29341,Claim 317,Very Low,Very Low
Truck 45170,Claim 318,Very Low,Very Low
Truck 47638,Claim 319,Very Low,Very Low
Truck 29350,Claim 320,Very Low,Very Low
Truck 19719,Claim 321,Very Low,Very Low
Truck 45152,Claim 322,Very Low,Very Low
Truck 17352,Claim 323,Very Low,Very Low
Truck 31426,Claim 324,Very Low,Very Low
Truck 21765,Claim 325,Very Low,Very Low
Truck 21765,Claim 326,Very Low,Very Low
Truck 13700,Claim 327,Very Low,Very Low
Truck 13700,Claim 328,Very Low,Very Low
Truck 42848,Claim 329,Very Low,Very Low
Truck 42847,Claim 330,Very Low,Very Low
Truck 45654,Claim 331,Very Low,Very Low
Truck 32492,Claim 332,Very Low,Very Low
Truck 32490,Claim 333,Very Low,Very Low
Truck 13124,Claim 334,Very Low,Very Low
Truck 39625,Claim 335,Very Low,Very Low
Truck 38852,Claim 336,Very Low,Very Low
Truck 19087,Claim 337,Very Low,Very Low
Truck 10787,Claim 338,Very Low,Very Low
Truck 2316,Claim 339,Very Low,Very Low
Truck 8180,Claim 340,Very Low,Very Low
Truck 13613,Claim 341,Very Low,Very Low
Truck 21163,Claim 342,Very Low,Very Low
Truck 25627,Claim 343,Very Low,Very Low
Truck 1523,Claim 344,Very Low,Very Low
Truck 1467,Claim 345,Very Low,Very Low
Truck 1866,Claim 346,Very Low,Very Low
Truck 1109,Claim 347,Very Low,Very Low
Truck 1383,Claim 348,Very Low,Very Low
Truck 25973,Claim 349,Very Low,Very Low
Truck 2322,Claim 350,Very Low,Very Low
Truck 2319,Claim 351,Very Low,Very Low
Truck 2319,Claim 352,Very Low,Very Low
Truck 2321,Claim 353,Very Low,Very Low
Truck 2429,Claim 354,Very Low,Very Low
Truck 20174,Claim 355,Very Low,Very Low
Truck 13608,Claim 356,Very Low,Very Low
Truck 28019,Claim 357,Very Low,Very Low
Truck 677,Claim 358,Very Low,Very Low
Truck 35409,Claim 359,Very Low,Very Low
Truck 35409,Claim 360,Very Low,Very Low
Truck 38853,Claim 361,Very Low,Very Low
Truck 7334,Claim 362,Very Low,Very Low
Truck 33857,Claim 363,Very Low,Very Low
Truck 3622,Claim 364,Very Low,Very Low
Truck 11514,Claim 365,Very Low,Very Low
Truck 11514,Claim 366,Very Low,Very Low
Truck 32481,Claim 367,Very Low,Very Low
Truck 7337,Claim 368,Very Low,Very Low
Truck 8269,Claim 369,Very Low,Very Low
Truck 30283,Claim 370,Very Low,Very Low
Truck 46214,Claim 371,Very Low,Very Low
Truck 14490,Claim 372,Very Low,Very Low
Truck 20809,Claim 373,Very Low,Very Low
Truck 18027,Claim 374,Very Low,Very Low
Truck 38631,Claim 375,Very Low,Very Low
Truck 38599,Claim 376,Very Low,Very Low
Truck 30140,Claim 377,Very Low,Very Low
Truck 9485,Claim 378,Very Low,Very Low
Truck 43736,Claim 379,Very Low,Very Low
Truck 43749,Claim 380,Very Low,Very Low
Truck 12532,Claim 381,Very Low,Very Low
Truck 12707,Claim 382,Very Low,Very Low
Truck 12227,Claim 383,Very Low,Very Low
Truck 39153,Claim 384,Very Low,Very Low
Truck 1129,Claim 385,Very Low,Very Low
Truck 12246,Claim 386,Very Low,Very Low
Truck 12707,Claim 387,Very Low,Very Low
Truck 24782,Claim 388,Very Low,Very Low
Truck 21698,Claim 389,Very Low,Very Low
Truck 11412,Claim 390,Very Low,Very Low
Truck 17830,Claim 391,Very Low,Very Low
Truck 17830,Claim 392,Very Low,Very Low
Truck 40152,Claim 393,Very Low,Very Low
Truck 38634,Claim 394,Very Low,Very Low
Truck 38594,Claim 395,Very Low,Very Low
Truck 39245,Claim 396,Very Low,Very Low
Truck 40048,Claim 397,Very Low,Very Low
Truck 8729,Claim 398,Very Low,Very Low
Truck 38631,Claim 399,Very Low,Very Low
Truck 38631,Claim 400,Very Low,Very Low
Truck 7556,Claim 401,Very Low,Very Low
Truck 21870,Claim 402,Very Low,Very Low
Truck 33526,Claim 403,Very Low,Very Low
Truck 5848,Claim 404,Very Low,Very Low
Truck 11411,Claim 405,Very Low,Very Low
Truck 25083,Claim 406,Very Low,Very Low
Truck 41346,Claim 407,Very Low,Very Low
Truck 29360,Claim 408,Very Low,Very Low
Truck 5088,Claim 409,Very Low,Very Low
Truck 10790,Claim 410,Very Low,Very Low
Truck 10790,Claim 411,Very Low,Very Low
Truck 11350,Claim 412,Very Low,Very Low
Truck 11350,Claim 413,Very Low,Very Low
Truck 21124,Claim 414,Very Low,Very Low
Truck 40728,Claim 415,Very Low,Very Low
Truck 41676,Claim 416,Very Low,Very Low
Truck 15724,Claim 417,Very Low,Very Low
Truck 21427,Claim 418,Very Low,Very Low
Truck 6986,Claim 419,Very Low,Very Low
Truck 16803,Claim 420,Very Low,Very Low
Truck 42640,Claim 421,Very Low,Very Low
Truck 42640,Claim 422,Very Low,Very Low
Truck 6555,Claim 423,Very Low,Very Low
Truck 19171,Claim 424,Very Low,Very Low
Truck 9281,Claim 425,Very Low,Very Low
Truck 2970,Claim 426,Very Low,Very Low
Truck 7626,Claim 427,Very Low,Very Low
Truck 7042,Claim 428,Very Low,Very Low
Truck 45176,Claim 429,Very Low,Very Low
Truck 22994,Claim 430,Very Low,Very Low
Truck 1889,Claim 431,Very Low,Very Low
Truck 8746,Claim 432,Very Low,Very Low
Truck 33535,Claim 433,Very Low,Very Low
Truck 42341,Claim 434,Very Low,Very Low
Truck 7652,Claim 435,Very Low,Very Low
Truck 10201,Claim 436,Very Low,Very Low
Truck 45258,Claim 437,Very Low,Very Low
Truck 45793,Claim 438,Very Low,Very Low
Truck 45793,Claim 439,Very Low,Very Low
Truck 16795,Claim 440,Very Low,Very Low
Truck 2376,Claim 441,Very Low,Very Low
Truck 2316,Claim 442,Very Low,Very Low
Truck 32924,Claim 443,Very Low,Very Low
Truck 2325,Claim 444,Very Low,Very Low
Truck 35264,Claim 445,Very Low,Very Low
Truck 19019,Claim 446,Very Low,Very Low
Truck 32801,Claim 447,Very Low,Very Low
Truck 32871,Claim 448,Very Low,Very Low
Truck 180,Claim 449,Very Low,Very Low
Truck 11876,Claim 450,Very Low,Very Low
Truck 5468,Claim 451,Very Low,Very Low
Truck 11927,Claim 452,Very Low,Very Low
Truck 11970,Claim 453,Very Low,Very Low
Truck 32813,Claim 454,Very Low,Very Low
Truck 2594,Claim 455,Very Low,Very Low
Truck 43509,Claim 456,Very Low,Very Low
Truck 38534,Claim 457,Very Low,Very Low
Truck 44661,Claim 458,Very Low,Very Low
Truck 32805,Claim 459,Very Low,Very Low
Truck 39129,Claim 460,Very Low,Very Low
Truck 32797,Claim 461,Very Low,Very Low
Truck 535,Claim 462,Very Low,Very Low
Truck 11958,Claim 463,Very Low,Very Low
Truck 2675,Claim 464,Very Low,Very Low
Truck 1341,Claim 465,Very Low,Very Low
Truck 2631,Claim 466,Very Low,Very Low
Truck 42754,Claim 467,Very Low,Very Low
Truck 45638,Claim 468,Very Low,Very Low
Truck 45605,Claim 469,Very Low,Very Low
Truck 45639,Claim 470,Very Low,Very Low
Truck 45628,Claim 471,Very Low,Very Low
Truck 45617,Claim 472,Very Low,Very Low
Truck 45596,Claim 473,Very Low,Very Low
Truck 13614,Claim 474,Very Low,Very Low
Truck 38872,Claim 475,Very Low,Very Low
Truck 7291,Claim 476,Very Low,Very Low
Truck 19563,Claim 477,Very Low,Very Low
Truck 35305,Claim 478,Very Low,Very Low
Truck 38622,Claim 479,Very Low,Very Low
Truck 4232,Claim 480,Very Low,Very Low
Truck 5706,Claim 481,Very Low,Very Low
Truck 8022,Claim 482,Very Low,Very Low
Truck 26844,Claim 483,Very Low,Very Low
Truck 46192,Claim 484,Very Low,Very Low
Truck 46192,Claim 485,Very Low,Very Low
Truck 5461,Claim 486,Very Low,Very Low
Truck 2867,Claim 487,Very Low,Very Low
Truck 16601,Claim 488,Very Low,Very Low
Truck 37074,Claim 489,Very Low,Very Low
Truck 37074,Claim 490,Very Low,Very Low
Truck 43065,Claim 491,Very Low,Very Low
Truck 2005,Claim 492,Very Low,Very Low
Truck 24031,Claim 493,Very Low,Very Low
Truck 24990,Claim 494,Very Low,Very Low
Truck 43691,Claim 495,Very Low,Very Low
Truck 26606,Claim 496,Very Low,Very Low
Truck 24791,Claim 497,Very Low,Very Low
Truck 24791,Claim 498,Very Low,Very Low
Truck 10193,Claim 499,Very Low,Very Low
Truck 10193,Claim 500,Very Low,Very Low
Truck 30531,Claim 501,Very Low,Very Low
Truck 22466,Claim 502,Very Low,Very Low
Truck 22470,Claim 503,Very Low,Very Low
Truck 2604,Claim 504,Very Low,Very Low
Truck 26850,Claim 505,Very Low,Very Low
Truck 42196,Claim 506,Very Low,Very Low
Truck 2186,Claim 507,Very Low,Very Low
Truck 26849,Claim 508,Very Low,Very Low
Truck 22563,Claim 509,Very Low,Very Low
Truck 24975,Claim 510,Very Low,Very Low
Truck 2607,Claim 511,Very Low,Very Low
Truck 26848,Claim 512,Very Low,Very Low
Truck 2656,Claim 513,Very Low,Very Low
Truck 22610,Claim 514,Very Low,Very Low
Truck 2670,Claim 515,Very Low,Very Low
Truck 2700,Claim 516,Very Low,Very Low
Truck 46930,Claim 517,Very Low,Very Low
Truck 14128,Claim 518,Very Low,Very Low
Truck 23447,Claim 519,Very Low,Very Low
Truck 9970,Claim 520,Very Low,Very Low
Truck 9950,Claim 521,Very Low,Very Low
Truck 9953,Claim 522,Very Low,Very Low
Truck 9944,Claim 523,Very Low,Very Low
Truck 10078,Claim 524,Very Low,Very Low
Truck 9928,Claim 525,Very Low,Very Low
Truck 9978,Claim 526,Very Low,Very Low
Truck 39291,Claim 527,Very Low,Very Low
Truck 40267,Claim 528,Very Low,Very Low
Truck 48168,Claim 529,Very Low,Very Low
Truck 39158,Claim 530,Very Low,Very Low
Truck 11452,Claim 531,Very Low,Very Low
Truck 27742,Claim 532,Very Low,Very Low
Truck 7428,Claim 533,Very Low,Very Low
Truck 868,Claim 534,Very Low,Very Low
Truck 9432,Claim 535,Very Low,Very Low
Truck 26253,Claim 536,Very Low,Very Low
Truck 14809,Claim 537,Very Low,Very Low
Truck 17308,Claim 538,Very Low,Very Low
Truck 3041,Claim 539,Very Low,Very Low
Truck 3039,Claim 540,Very Low,Very Low
Truck 20098,Claim 541,Very Low,Very Low
Truck 23955,Claim 542,Very Low,Very Low
Truck 10732,Claim 543,Very Low,Very Low
Truck 21251,Claim 544,Very Low,Very Low
Truck 12202,Claim 545,Very Low,Very Low
Truck 15461,Claim 546,Very Low,Very Low
Truck 47420,Claim 547,Very Low,Very Low
Truck 17215,Claim 548,Very Low,Very Low
Truck 3720,Claim 549,Very Low,Very Low
Truck 46,Claim 550,Very Low,Very Low
Truck 43477,Claim 551,Very Low,Very Low
Truck 17705,Claim 552,Very Low,Very Low
Truck 41380,Claim 553,Very Low,Very Low
Truck 12359,Claim 554,Very Low,Very Low
Truck 30990,Claim 555,Very Low,Very Low
Truck 25686,Claim 556,Very Low,Very Low
Truck 40092,Claim 557,Very Low,Very Low
Truck 41760,Claim 558,Very Low,Very Low
Truck 41381,Claim 559,Very Low,Very Low
Truck 15463,Claim 560,Very Low,Very Low
Truck 39730,Claim 561,Very Low,Very Low
Truck 28017,Claim 562,Very Low,Very Low
Truck 38973,Claim 563,Very Low,Very Low
Truck 39266,Claim 564,Very Low,Very Low
Truck 22667,Claim 565,Very Low,Very Low
Truck 37018,Claim 566,Very Low,Very Low
Truck 34542,Claim 567,Very Low,Very Low
Truck 31906,Claim 568,Very Low,Very Low
Truck 8899,Claim 569,Very Low,Very Low
Truck 32769,Claim 570,Very Low,Very Low
Truck 39709,Claim 571,Very Low,Very Low
Truck 10121,Claim 572,Very Low,Very Low
Truck 10903,Claim 573,Very Low,Very Low
Truck 7280,Claim 574,Very Low,Very Low
Truck 1852,Claim 575,Very Low,Very Low
Truck 1900,Claim 576,Very Low,Very Low
Truck 39401,Claim 577,Very Low,Very Low
Truck 17589,Claim 578,Very Low,Very Low
Truck 23755,Claim 579,Very Low,Very Low
Truck 19644,Claim 580,Very Low,Very Low
Truck 47952,Claim 581,Very Low,Very Low
Truck 2812,Claim 582,Very Low,Very Low
Truck 2792,Claim 583,Very Low,Very Low
Truck 4433,Claim 584,Very Low,Very Low
Truck 43474,Claim 585,Very Low,Very Low
Truck 41337,Claim 586,Very Low,Very Low
Truck 47968,Claim 587,Very Low,Very Low
Truck 26293,Claim 588,Very Low,Very Low
Truck 41044,Claim 589,Very Low,Very Low
Truck 41023,Claim 590,Very Low,Very Low
Truck 41298,Claim 591,Very Low,Very Low
Truck 47817,Claim 592,Very Low,Very Low
Truck 41291,Claim 593,Very Low,Very Low
Truck 41345,Claim 594,Very Low,Very Low
Truck 41349,Claim 595,Very Low,Very Low
Truck 17338,Claim 596,Very Low,Very Low
Truck 10037,Claim 597,Very Low,Very Low
Truck 9914,Claim 598,Very Low,Very Low
Truck 10036,Claim 599,Very Low,Very Low
Truck 10039,Claim 600,Very Low,Very Low
Truck 9899,Claim 601,Very Low,Very Low
Truck 9962,Claim 602,Very Low,Very Low
Truck 10040,Claim 603,Very Low,Very Low
Truck 9974,Claim 604,Very Low,Very Low
Truck 10088,Claim 605,Very Low,Very Low
Truck 9966,Claim 606,Very Low,Very Low
